WigleWifi-1.4,appRelease=2.64,model=M2006C3MNG,release=10,device=angelican,display=QP1A.190711.020,board=angelican,brand=Redmi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
98:da:c4:fb:b7:7e,TAR-AIR,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2022-08-26 22:09:53,10,-74,50.662525,14.007614999999998,157.6,1.2999999523162842,WIFI
dc:2c:6e:5a:9d:e5,STARNET-50-JAT-34M,[ESS],2022-08-26 22:09:53,1,-75,50.662525,14.007614999999998,157.6,1.2999999523162842,WIFI
98:0d:67:22:5a:81,Zyxel_5A81,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:09:53,2,-85,50.662525,14.007614999999998,157.6,1.2999999523162842,WIFI
98:da:c4:4c:2b:65,VI3_ustinadlabem_SM_EXT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2022-08-26 22:09:53,11,-91,50.662525,14.007614999999998,157.6,1.2999999523162842,WIFI
c0:4a:00:b4:09:a6,Salvei,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2022-08-26 22:09:53,3,-92,50.662525,14.007614999999998,157.6,1.2999999523162842,WIFI
c0:c9:e3:55:f9:f7,TP-Link_F9F7,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2022-08-26 22:09:53,10,-94,50.662525,14.007614999999998,157.6,1.2999999523162842,WIFI
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:09:53,1379,-113,50.662525,14.007614999999998,157.6,1.2999999523162842,GSM
23002_1511_104968027,O2 Czech Republic,UNKNOWN;cz,2022-08-26 22:09:53,1379,-79,50.662525,14.007614999999998,157.6,1.2999999523162842,GSM
40:3f:8c:cb:83:ba,Skolnikovi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS][WPS],2022-08-26 22:10:13,7,-78,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
b0:b8:67:26:f7:03,GYMJAT,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2022-08-26 22:10:13,11,-78,50.66345833333333,14.010706666666666,173.2,1.2999999523162842,WIFI
